"OBJECTID","Identificador único del regitro de datos del lote"
"COBAMA","Código comuna barrio manzana"
"TIPO_LOTE","Tipo de lote"
"CBML","Código comuna barrio manzana lote"
"FORMA","Forma del lote"
"NUMERO_EDI","Número de edificaciones"
"AREA_LOTE","Área en mt² del lote"
"X_MAGNAMED","Longitud coordenada planas"
"Y_MAGNAMED","Latitud coordenadas planas"
"ESTACIONMASCERCANA","Estación o parada del metro de la 80 más cercana. (la ubicación es tentativa, de acuerdo a la información que se conoce en esta etapa de planeación)"
"DISTANCIAAESTACI0N","Distancia a la estación más cercana desde el centroide del lote"
"COMUNA","Comuna donde está ubicado el lote"
